Distance from fort,count_schools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,count_medical_centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,min_dist_school,min_dist_medical_center,Price per Perch
9.16,19,1,0.668115654,7.480199518,0.647482412,0.047406525,38,5,0.229319769,17,1.221395666,4,1.224741756,1.856131844,"3,800,000.00"
17.26,6,0,3.092683935,3.716698378,0.089601941,0.104367405,10,1,0.685837638,5,0.917733437,2,2.121535646,2.422564633,"2,200,000.00"
22.59,1,0,4.731446487,5.842113383,5.025225136,3.189759435,0,0,3.053364406,0,3.525063347,0,5.736706006,4.444261549,"895,000.00"
10.57,11,2,0.574608738,9.365425049,0.380556553,0.053768922,31,3,0.253841443,24,0.139402968,4,0.500748682,1.59651451,"2,400,000.00"
14.14,4,0,2.709960494,3.827825191,5.361563944,1.394740848,15,0,0.241100286,10,1.336383484,2,3.58745219,2.674381232,"1,500,000.00"
9.16,19,1,0.668115654,7.480199518,0.647482412,0.047406525,38,5,0.229319769,17,1.221395666,4,1.224741756,1.856131844,"3,300,000.00"
20.21,1,0,4.452395666,3.231228684,9.461703594,1.564251976,1,0,1.45545367,1,1.669502034,1,6.882095043,6.69515565,"795,000.00"
24.82,1,0,5.090707489,0.409507119,6.811585774,0.031648336,2,1,3.055274365,0,5.118456884,0,7.133131449,4.812728716,"750,000.00"
11.88,9,2,1.412228981,9.949975211,1.714054755,1.241304091,21,3,0.603966541,23,1.196047358,5,1.353496396,2.372959813,"1,900,000.00"
22.59,1,0,4.731446487,5.842113383,5.025225136,3.189759435,0,0,3.053364406,0,3.525063347,0,5.736706006,4.444261549,"935,000.00"
9.16,19,1,0.668115654,7.480199518,0.647482412,0.047406525,38,5,0.229319769,17,1.221395666,4,1.224741756,1.856131844,"4,700,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"633,587.79"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"590,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"590,000.00"
22.39,2,0,5.350999564,4.118825144,6.739824789,1.821689416,2,0,1.602959146,2,2.940111393,0,6.361590457,3.594877933,"695,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"434,782.61"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"430,051.81"
